Location,2016__Male,2016__Female,2017__Male,2017__Female,2018__Male,2018__Female,2019__Male,2019__Female,2021__Male,2021__Female
Alabama,2277300,2452800,2284900,2456500,2283600,2469100,2295100,2472000,2356900,2543800
Alaska,369900,345000,364500,345600,356400,352700,355600,346100,357700,341000
Arizona,3328400,3432500,3363200,3478100,3446800,3557500,3497700,3600300,3521100,3586300
Arkansas,1413400,1482000,1422700,1487200,1418300,1503000,1415100,1507400,1439300,1497100
California,18973300,19469100,19113000,19600800,19128300,19617600,19076200,19566500,19057300,19321900
Colorado,2691400,2706600,2723500,2737600,2768600,2786600,2809700,2802000,2841400,2822800
Connecticut,1685000,1780100,1692100,1786600,1680300,1786100,1682100,1771300,1713300,1788200
Delaware,443500,480900,448000,483700,449300,488300,453500,486800,469000,505100
District of Columbia,303500,340900,309400,348200,314900,353000,318700,352600,301000,332400
Florida,9762700,10381400,9960700,10571600,10090000,10753500,10177800,10814200,10398800,10906000
Georgia,4809700,5191400,4870800,5250700,4915800,5297100,4959300,5334700,5057800,5420500
Hawaii,671300,693300,662300,693800,663800,691000,655800,687300,670700,694400
Idaho,818600,832100,842300,839800,858300,861300,874300,876600,930800,934200
Illinois,6099600,6391600,6104600,6392000,6090000,6348300,6025700,6336600,6080600,6288100
Indiana,3151300,3280100,3164400,3295100,3174900,3312200,3192100,3319700,3254300,3347000
Iowa,1499200,1531200,1501500,1544100,1515700,1541100,1513500,1546700,1543500,1549700
Kansas,1391200,1425800,1395900,1421600,1393600,1421200,1378600,1432600,1417100,1426100
Kentucky,2091500,2196100,2113500,2193600,2105800,2214500,2117600,2201700,2143300,2222200
Louisiana,2186300,2344200,2190000,2351600,2178500,2340900,2163700,2334900,2159900,2320400
Maine,628700,665100,636100,664100,630300,669200,629800,672500,656500,680500
Maryland,2811700,3044800,2838600,3054300,2822200,3048600,2821200,3054300,2890700,3101400
Massachusetts,3190200,3380400,3214300,3406200,3237700,3422200,3229600,3421200,3294600,3449400
Michigan,4743300,4950300,4758100,4962300,4790600,4979500,4785800,4979800,4852700,4989100
Minnesota,2675000,2718000,2701100,2745500,2740500,2748500,2734100,2780700,2788400,2796700
Mississippi,1374200,1513100,1385300,1499200,1376400,1502900,1363200,1503900,1369700,1480900
Missouri,2887900,3010200,2887400,3033900,2887800,3046700,2892200,3047700,2930300,3057200
Montana,509400,505700,507100,515400,521800,512100,518300,521100,544000,529800
Nebraska,915800,929200,926100,933200,926200,942800,931100,942400,949200,957800
Nevada,1437900,1452400,1464500,1482100,1485600,1497800,1506600,1523100,1547200,1543200
New Hampshire,644900,646400,643200,653700,647600,662700,648900,665100,673500,673300
New Jersey,4259000,4503700,4291100,4532700,4237700,4490600,4238600,4460800,4447700,4637400
New Mexico,991900,1037500,1004700,1033400,1004000,1041300,995600,1045800,1010100,1053000
New York,9303100,9918400,9346600,9969100,9194500,9822400,9154400,9754000,9394800,9915000
North Carolina,4731200,5098700,4789900,5158900,4825800,5218500,4871900,5267800,4934000,5277600
North Dakota,371400,354500,370400,355600,371900,358700,369100,361900,380100,361500
Ohio,5511800,5767000,5517500,5806100,5549800,5806100,5548200,5803400,5617800,5837800
Oklahoma,1867200,1933600,1860500,1943200,1869400,1946700,1874100,1952900,1910000,1948600
Oregon,1986000,2028500,2007100,2055900,2029000,2081900,2031900,2097000,2070300,2093200
Pennsylvania,6029200,6335500,6049400,6339700,6033600,6354400,6024900,6352800,6179200,6384900
Rhode Island,490700,523300,493000,522900,493100,520800,497000,520100,513200,537100
South Carolina,2307400,2497900,2335100,2529500,2366900,2562900,2379700,2604500,2427700,2612900
South Dakota,419300,416500,419800,417200,425300,423400,429200,422100,438400,425500
Tennessee,3133100,3334700,3164800,3373400,3194900,3391500,3214700,3426200,3310500,3485600
Texas,13365000,13813300,13597400,14023800,13796400,14227600,13897800,14388400,14278900,14566300
Utah,1505600,1493700,1529300,1518100,1563300,1542600,1576800,1577300,1657900,1623800
Vermont,294700,304900,295800,304400,296500,304200,295700,302400,307100,312600
Virginia,3917200,4163600,3937000,4203700,3965100,4216900,3959400,4225600,4053500,4251500
Washington,3527900,3596300,3589700,3650100,3660100,3707900,3689700,3734200,3771200,3781000
West Virginia,875600,906100,863400,898700,864400,887900,854100,884900,856600,876400
Wisconsin,2776300,2847000,2792400,2850600,2802000,2860900,2800100,2877000,2873000,2881500
Wyoming,287400,282000,286600,276700,282600,277700,286200,276500,287700,275800
Total,153737100,160729400,155030600,161991800,155725900,162772900,156012000,163237400,158930300,164245500
